"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"28116","Takanori Gomi","win","Hayato Sakurai","Pride FC - Shockwave 2005Dec / 31 / 2005","KO (Punches)N/A","1","3:56"
"29110","Takanori Gomi","win","Luiz Azeredo","Pride - Bushido 9Sep / 25 / 2005","Decision (Unanimous)N/A","2","5:00"
"3098","Takanori Gomi","win","Tatsuya Kawajiri","Pride - Bushido 9Sep / 25 / 2005","Submission (Rear-Naked Choke)N/A","1","7:42"
"31167","Takanori Gomi","win","Jean Silva","Pride - Bushido 8Jul / 17 / 2005","Decision (Unanimous)N/A","2","5:00"
"32147","Takanori Gomi","win","Luiz Azeredo","Pride - Bushido 7May / 22 / 2005","KO (Punches)N/A","1","3:46"
"33123","Takanori Gomi","win","Jens Pulver","Pride - Shockwave 2004Dec / 31 / 2004","KO (Punch)N/A","1","6:21"
"34113","Takanori Gomi","win","Charles Bennett","Pride - Bushido 5Oct / 14 / 2004","Technical Submission (Kimura)N/A","1","5:52"
"35105","Takanori Gomi","win","Fabio Mello","Pride - Bushido 4Jul / 19 / 2004","TKO (Punches)N/A","1","8:07"
"3693","Takanori Gomi","win","Ralph Gracie","Pride - Bushido 3May / 23 / 2004","TKO (Knees)N/A","1","0:06"
"3769","Takanori Gomi","win","Jadyson Costa","Pride - Bushido 2Feb / 15 / 2004","TKO (Punches)N/A","1","4:55"
"3866","Takanori Gomi","loss","B.J. Penn","ROTR 4 - Rumble on the Rock 4Oct / 10 / 2003","Submission (Rear-Naked Choke)Larry Landless","3","2:35"
"3963","Takanori Gomi","loss","Joachim Hansen","Shooto - 8/10 in Yokohama Cultural GymnasiumAug / 10 / 2003","Decision (Majority)N/A","3","5:00"
"4056","Takanori Gomi","win","Nick Ertl","Shooto - 2/23 in Korakuen HallFeb / 23 / 2003","Submission (Armbar)N/A","1","4:59"
"41140","Takanori Gomi","win","Dokonjonosuke Mishima","Shooto - Year End Show 2002Dec / 14 / 2002","TKO (Punches)N/A","2","0:52"
"42119","Takanori Gomi","win","Chris Brennan","Shooto - Treasure Hunt 10Sep / 16 / 2002","Decision (Unanimous)N/A","3","5:00"
"43106","Takanori Gomi","win","Leonardo Santos","Shooto - Treasure Hunt 7Jun / 29 / 2002","Decision (Majority)N/A","3","5:00"
"44101","Takanori Gomi","win","Rumina Sato","Shooto - To The Top Final ActDec / 16 / 2001","Decision (Unanimous)N/A","3","5:00"
"4555","Takanori Gomi","win","Ryan Bow","Shooto - R.E.A.D. 12Nov / 12 / 2000","Decision (Unanimous)N/A","3","5:00"
"4652","Takanori Gomi","win","Paul Rodriguez","Shooto - R.E.A.D. 6Jul / 16 / 2000","Decision (Unanimous)N/A","3","5:00"
"4748","Takanori Gomi","win","Anderson Pavao","Shooto - R.E.A.D. 3Apr / 02 / 2000","Decision (Unanimous)N/A","3","5:00"
"4846","Takanori Gomi","win","Johnny Eduardo","VTJ 1999 - Vale Tudo Japan 1999Dec / 11 / 1999","Submission (Rear-Naked Choke)N/A","3","1:43"
"4943","Takanori Gomi","win","Takuya Kuwabara","Shooto - Renaxis 4Sep / 05 / 1999","Decision (Unanimous)N/A","3","5:00"
"5038","Takanori Gomi","win","Stephen Palling","SB 12 - SuperBrawl 12Jun / 01 / 1999","Submission (Rear-Naked Choke)N/A","1","3:06"
"51123","Takanori Gomi","win","Takuya Kuwabara","Shooto - Renaxis 1Mar / 28 / 1999","Decision (Unanimous)N/A","3","5:00"
"52105","Takanori Gomi","win","Kazumichi Takada","Shooto - Devilock FightersJan / 15 / 1999","TKO (Punches)N/A","2","3:42"
"5390","Takanori Gomi","win","Hiroshi Tsuruya","Shooto - Las Grandes Viajes 6Nov / 27 / 1998","Decision (Unanimous)N/A","2","5:00"
"21071","Johnny Eduardo","loss","Nathaniel Wood","UFC Fight Night 131 - Rivera vs. MoraesJun / 01 / 2018","Submission (Brabo Choke)Kevin MacDonald","2","2:18"
"3694","Johnny Eduardo","loss","Matthew Lopez","UFC 212 - Aldo vs. HollowayJun / 03 / 2017","TKO (Punches)Mario Yamasaki","1","2:57"
"4504","Johnny Eduardo","win","Manny Gamburyan","UFC Fight Night 100 - Bader vs. Nogueira 2Nov / 19 / 2016","TKO (Punches)Mario Yamasaki","2","0:46"
"5391","Johnny Eduardo","loss","Aljamain Sterling","UFC Fight Night 80 - Namajunas vs. VanZantDec / 10 / 2015","Submission (Guillotine Choke)Marc Goddard","2","4:18"
"6342","Johnny Eduardo","win","Eddie Wineland","UFC Fight Night 40 - Brown vs. SilvaMay / 10 / 2014","KO (Punches)Herb Dean","1","4:37"
"7303","Johnny Eduardo","win","Jeff Curran","UFC on Fuel TV 3 - Korean Zombie vs. PoirierMay / 15 / 2012","Decision (Unanimous)Rick McCoy","3","5:00"
"8283","Johnny Eduardo","loss","Raphael Assuncao","UFC 134 - Silva vs. OkamiAug / 27 / 2011","Decision (Unanimous)Marc Goddard","3","5:00"
"9261","Johnny Eduardo","win","Jose Wilson","Shooto Brazil - Shooto Brazil 22Apr / 01 / 2011","Submission (Rear-Naked Choke)Marlon Sandro","3","2:57"
"10249","Johnny Eduardo","win","Paulo Dantas","Shooto Brazil - Shooto Brazil 17Aug / 06 / 2010","Decision (Unanimous)Mario Yamasaki","3","5:00"
"11240","Johnny Eduardo","win","Francisco Chagas","JF - Jungle Fight 16Oct / 17 / 2009","TKO (Leg Injury)N/A","1","0:00"
"12221","Johnny Eduardo","win","Donald Sanchez","BFC - Bellator Fighting Championships 3-4Apr / 17 / 2009","Decision (Unanimous)Kevin Nix","3","5:00"
"13200","Johnny Eduardo","win","Bruno Dias","TW - The WarriorsMar / 29 / 2009","Submission (Rear-Naked Choke)N/A","3","0:00"
"14195","Johnny Eduardo","win","Andre Luis Oliveira","Shooto Brazil - Shooto Brazil 10Jan / 17 / 2009","TKO (Punches)Marcos Galvao","1","2:11"
"15183","Johnny Eduardo","win","Munil Adriano","RF 6 - Real Fight 6Nov / 08 / 2008","TKO (Punches)N/A","1","2:20"
"16180","Johnny Eduardo","win","Francisco Ramos","WFE - Win Fight and Entertainment 1Sep / 28 / 2008","Submission (Anaconda Choke)Carlos Barreto","1","3:56"
"17172","Johnny Eduardo","win","Cristiano da Conceicao Justino","TG - The GloryJul / 05 / 2008","Submission (Armbar)N/A","2","1:29"
"18166","Johnny Eduardo","win","Erinaldo dos Santos Rodrigues","JF 9 - WarriorsMay / 31 / 2008","KON/A","0","0:00"
"19161","Johnny Eduardo","win","Marcos Maciel de Oliveira","RFC - Rio FC 1Feb / 28 / 2008","TKON/A","2","2:27"
"20149","Johnny Eduardo","loss","Miguel Angel Duran","Shooto Brazil 3 - The EvolutionJul / 07 / 2007","Submission (Punches)N/A","1","0:00"
"21211","Johnny Eduardo","loss","Milton Vieira","SC1 - Super Challenge 1Oct / 07 / 2006","Submission (Anaconda Choke)N/A","2","N/A"
"22192","Johnny Eduardo","win","Aritano Silva Barbosa","GFC 1 - Gold Fighters ChampionshipMay / 20 / 2006","Submission (Arm-Triangle Choke)N/A","1","N/A"
"23172","Johnny Eduardo","win","Jose Adriano","GF - Guarafight 2Jan / 07 / 2006","Submission (Heel Hook)N/A","1","1:08"
"24158","Johnny Eduardo","loss","Marcilio Villas Boas","CF 1 - Conquista Fight 1Dec / 20 / 2003","Submission (Armbar)N/A","1","3:19"
"25139","Johnny Eduardo","win","Marcelo Cobra","K - NOCKJul / 23 / 2003","Decision (Unanimous)N/A","3","5:00"
"26129","Johnny Eduardo","loss","Takuya Kuwabara","Shooto - R.E.A.D. 2Mar / 17 / 2000","Decision (Unanimous)N/A","3","5:00"
"27122","Johnny Eduardo","loss","Takanori Gomi","VTJ 1999 - Vale Tudo Japan 1999Dec / 11 / 1999","Submission (Rear-Naked Choke)N/A","3","1:43"
"28117","Johnny Eduardo","loss","Haroldo Bunn","IVC 13 - The New Generation of LightweightsAug / 26 / 1999","Submission (Kneebar)N/A","1","7:40"
"29111","Johnny Eduardo","loss","Sergio Melo","IVC 7 - The New ChampionsAug / 23 / 1998","Submission (Rear-Naked Choke)N/A","1","16:25"
"3099","Johnny Eduardo","win","Fabio Alves","IVC 7 - The New ChampionsAug / 23 / 1998","TKO (Submission to Punches)N/A","1","3:30"
"31168","Johnny Eduardo","win","Vanderci Garcia","IVC 7 - The New ChampionsAug / 23 / 1998","TKO (Submission to Punches)N/A","1","2:07"
"32148","Johnny Eduardo","win","Thiago Santana","CJF - Campos de Jordao FreestyleJun / 06 / 1998","Decision (Unanimous)N/A","2","8:00"
"33124","Johnny Eduardo","win","Rudi Desouza","CJF - Campos de Jordao FreestyleJun / 06 / 1998","Submission (Rear-Naked Choke)N/A","1","0:00"
"34114","Johnny Eduardo","win","Wanderley Esmala","Desafio - Freestyle de CamposMay / 18 / 1998","Submission (Triangle Choke)N/A","1","15:49"
"35106","Johnny Eduardo","win","Arivaldo Souza","GF - Guaratingueta Freestyle 1Aug / 30 / 1997","TKO (Punches)N/A","2","0:00"
"3695","Johnny Eduardo","win","Guilherme Santos","GF - Guaratingueta Freestyle 1Aug / 30 / 1997","Submission (Rear-Naked Choke)N/A","1","0:00"
"3770","Johnny Eduardo","win","Marcos Rodrigues","GF - Guaratingueta Freestyle 1Aug / 30 / 1997","Decision (Unanimous)N/A","2","8:00"
"3867","Johnny Eduardo","win","Douglas Nascimento","IFO - Itajuba Freestyle OpenApr / 05 / 1997","Submission (Ankle Lock)N/A","3","0:00"
"3964","Johnny Eduardo","win","Claudionor Cardoso da Silva","IFO - Itajuba Freestyle OpenApr / 05 / 1997","Decision (Unanimous)N/A","2","8:00"
"4057","Johnny Eduardo","win","Paulo Arum","IFO - Itajuba Freestyle OpenApr / 05 / 1997","Submission (Heel Hook)N/A","1","0:00"
"41141","Johnny Eduardo","loss","Wander Braga","BVF 6 - Campeonato Brasileiro de Vale Tudo 1Nov / 01 / 1996","Submission (Rear-Naked Choke)N/A","1","4:33"
"21072","Hisao Ikeda","loss","Masato Shiozawa","Shooto - Year End Show 2002Dec / 14 / 2002","TKO (Punches)N/A","3","4:14"
"3696","Hisao Ikeda","draw","Masahiro Oishi","Shooto - Treasure Hunt 10Sep / 16 / 2002","DrawN/A","3","5:00"
"4505","Hisao Ikeda","win","Hiroaki Yoshioka","Shooto - Treasure Hunt 1Jan / 12 / 2002","Decision (Unanimous)N/A","3","5:00"
"5392","Hisao Ikeda","win","Itchaku Murata","Shooto - Gig East 7Nov / 26 / 2001","Decision (Unanimous)N/A","3","5:00"
"6343","Hisao Ikeda","loss","Katsuya Toida","Shooto - To The Top 1Jan / 19 / 2001","Decision (Unanimous)N/A","3","5:00"
"7304","Hisao Ikeda","draw","Joao Roque","VTJ 1999 - Vale Tudo Japan 1999Dec / 11 / 1999","DrawN/A","3","8:00"
"8284","Hisao Ikeda","loss","Uchu Tatsumi","Shooto - Renaxis 4Sep / 05 / 1999","Decision (Split)N/A","3","5:00"
"9262","Hisao Ikeda","win","Colin Mannsur","Shooto - Las Grandes Viajes 6Nov / 27 / 1998","TKO (Punches)N/A","2","1:49"
"10250","Hisao Ikeda","win","Mamoru Okochi","Shooto - Gig '98 2ndJul / 18 / 1998","Decision (Unanimous)N/A","3","5:00"
"11241","Hisao Ikeda","win","Omar Salvosa","Shooto - Las Grandes Viajes 2Mar / 01 / 1998","Submission (Achilles Lock)N/A","1","4:23"
"12222","Hisao Ikeda","win","Jin Akimoto","Shooto - Las Grandes Viajes 1Jan / 17 / 1998","Decision (Unanimous)N/A","3","5:00"
"13201","Hisao Ikeda","win","Masahiro Oishi","Shooto - Reconquista 3Aug / 27 / 1997","Decision (Unanimous)N/A","2","5:00"
"14196","Hisao Ikeda","loss","Jin Akimoto","Shooto - Reconquista 1Jan / 18 / 1997","Decision (Majority)N/A","3","3:00"
"15184","Hisao Ikeda","win","Kenzi Daikanyama","Shooto - Let's Get LostOct / 04 / 1996","Decision (Majority)N/A","3","3:00"
"16181","Hisao Ikeda","win","Katsuhisa Akasaki","Shooto - Free Fight KawasakiJul / 28 / 1996","Decision (Majority)N/A","3","3:00"
"17173","Hisao Ikeda","loss","Uchu Tatsumi","Shooto - Vale Tudo Junction 3May / 07 / 1996","KO (Punches)N/A","1","0:47"
"18167","Hisao Ikeda","draw","Masahiro Oishi","Shooto - Vale Tudo Junction 2Mar / 05 / 1996","DrawN/A","3","3:00"
"19162","Hisao Ikeda","win","Yoshiyuki Takayama","Shooto - Vale Tudo Junction 1Jan / 20 / 1996","Submission (Kimura)N/A","3","2:57"
"21073","Vitor Ribeiro","loss","Justin Wilcox","Strikeforce - Challengers 12Nov / 19 / 2010","Decision (Unanimous)David Ferguson","3","5:00"
"3697","Vitor Ribeiro","loss","Lyle Beerbohm","Strikeforce - Heavy ArtilleryMay / 15 / 2010","Decision (Split)Al Wichgers","3","5:00"
"4506","Vitor Ribeiro","loss","Shinya Aoki","Dream 10 - Welterweight Grand Prix 2009 FinalJul / 20 / 2009","Decision (Unanimous)Yuji Shimada","2","5:00"
"5393","Vitor Ribeiro","win","Katsuhiko Nagata","Dream 8 - Welterweight Grand Prix 2009 Opening RoundApr / 05 / 2009","TKO (Doctor Stoppage)Daisuke Noguchi","1","7:58"
"6344","Vitor Ribeiro","loss","Gesias Cavalcante","K-1 HERO's - Tournament FinalSep / 17 / 2007","TKO (Punches)N/A","1","0:35"
"7305","Vitor Ribeiro","win","Kazuyuki Miyata","K-1 HERO's - Middleweight Tournament Opening RoundJul / 16 / 2007","Submission (Arm-Triangle Choke)N/A","2","1:54"
"8285","Vitor Ribeiro","win","Ryuki Ueyama","K-1 - Hero's 8Mar / 12 / 2007","Submission (Triangle Armbar)N/A","1","1:48"
"9263","Vitor Ribeiro","win","Daisuke Nakamura","Cage Rage 19 - FearlessDec / 09 / 2006","Technical Submission (Straight Armbar)Leon Roberts","1","3:55"
"10251","Vitor Ribeiro","win","Abdul Mohamed","Cage Rage 18 - BattlegroundSep / 30 / 2006","Submission (Kimura)N/A","1","4:27"
"11242","Vitor Ribeiro","win","Chris Brennan","GFC - Team Gracie vs. Team Hammer HouseMar / 03 / 2006","TKO (Eye Injury)N/A","2","3:25"
"12223","Vitor Ribeiro","win","Eiji Mitsuoka","MARS - MARSFeb / 04 / 2006","Decision (Unanimous)N/A","3","5:00"
"13202","Vitor Ribeiro","win","Jean Silva","Cage Rage 13 - No FearSep / 10 / 2005","Submission (Arm-Triangle Choke)N/A","2","4:18"
"14197","Vitor Ribeiro","win","Gerald Strebendt","Cage Rage 12 - The Real DealJul / 02 / 2005","Submission (Guillotine Choke)N/A","1","1:13"
"15185","Vitor Ribeiro","win","Tetsuji Kato","ROTR 7 - Rumble On The Rock 7May / 07 / 2005","Submission (Arm-Triangle Choke)Troy Mandaloniz","3","2:32"
"16182","Vitor Ribeiro","loss","Tatsuya Kawajiri","Shooto - Year End Show 2004Dec / 14 / 2004","TKO (Punches)N/A","2","3:11"
"17174","Vitor Ribeiro","win","Mitsuhiro Ishida","Shooto Hawaii - Soljah Fight NightJul / 09 / 2004","Decision (Unanimous)N/A","3","5:00"
"18168","Vitor Ribeiro","win","Joachim Hansen","Shooto - Year End Show 2003Dec / 14 / 2003","Submission (Arm-Triangle Choke)N/A","2","2:37"
"19163","Vitor Ribeiro","win","Ivan Menjivar","AFC 4 - Absolute Fighting Championships 4Jul / 19 / 2003","Decision (Unanimous)N/A","3","5:00"
"20150","Vitor Ribeiro","win","Ryan Bow","Shooto - 5/4 in Korakuen HallMay / 04 / 2003","Decision (Unanimous)N/A","3","5:00"
"21212","Vitor Ribeiro","win","Tatsuya Kawajiri","Shooto - Year End Show 2002Dec / 14 / 2002","Decision (Unanimous)N/A","3","5:00"
"22193","Vitor Ribeiro","win","Eddie Yagin","WFA 3 - Level 3Nov / 23 / 2002","Technical Submission (Arm-Triangle Choke)Cecil Peoples","2","2:23"
"23173","Vitor Ribeiro","win","Hiroshi Tsuruya","Shooto - Treasure Hunt 10Sep / 16 / 2002","Decision (Unanimous)N/A","3","5:00"
"24159","Vitor Ribeiro","win","Joe Hurley","WFA 2 - Level 2Jul / 05 / 2002","Technical Submission (Arm-Triangle Choke)Herb Dean","2","1:19"
"25140","Vitor Ribeiro","win","Takumi Nakayama","HOOKnSHOOT - RelentlessMay / 25 / 2002","Submission (Arm-Triangle Choke)Sean Brockmole","1","0:51"
"26130","Vitor Ribeiro","win","Charlie Kohler","WFA 1 - World Fighting Alliance 1Nov / 03 / 2001","TKO (Doctor Stoppage)Mario Yamasaki","1","3:50"
"21074","Yuki Nakai","loss","Rickson Gracie","VTJ 1995 - Vale Tudo Japan 1995Apr / 20 / 1995","Submission (Rear-Naked Choke)N/A","1","6:22"
"3698","Yuki Nakai","win","Craig Pittman","VTJ 1995 - Vale Tudo Japan 1995Apr / 20 / 1995","Submission (Armbar)N/A","2","7:32"
"4507","Yuki Nakai","win","Gerard Gordeau","VTJ 1995 - Vale Tudo Japan 1995Apr / 20 / 1995","Submission (Heel Hook)N/A","4","2:41"
"5394","Yuki Nakai","win","Hiroaki Matsutani","Shooto - Vale Tudo Access 3Jan / 21 / 1995","Submission (Heel Hook)N/A","1","0:20"
"6345","Yuki Nakai","win","Kazuhiro Kusayanagi","Shooto - Vale Tudo Access 2Nov / 07 / 1994","Decision (Unanimous)N/A","4","4:00"
"7306","Yuki Nakai","win","Kyuhei Ueno","Shooto - ShootoMay / 06 / 1994","Submission (Arm-Triangle Choke)N/A","5","0:32"
"8286","Yuki Nakai","win","Jun Kikawada","Shooto - New Stage Battle of WrestlingMar / 11 / 1994","Submission (Heel Hook)N/A","1","0:27"
"9264","Yuki Nakai","win","Jun Kikawada","Seishinkaikan - SeishinkaikanFeb / 23 / 1994","N/AN/A","1","0:24"
"10252","Yuki Nakai","loss","Noboru Asahi","Shooto - ShootoNov / 25 / 1993","Decision (Majority)N/A","5","3:00"
"11243","Yuki Nakai","win","Masakazu Kuramochi","Shooto - ShootoJun / 24 / 1993","Submission (Heel Hook)N/A","2","1:36"
"12224","Yuki Nakai","win","Hiroki Noritsugi","Shooto - ShootoApr / 26 / 1993","Submission (Kimura)N/A","1","0:53"
"21075","Uchu Tatsumi","loss","Alexandre Franca Nogueira","Shooto - R.E.A.D. 9Aug / 27 / 2000","Submission (Guillotine Choke)N/A","1","1:57"
"3699","Uchu Tatsumi","win","Anthony Hamlett","Shooto - R.E.A.D. 7Jul / 22 / 2000","Submission (Rear Naked Choke)N/A","1","2:49"
"4508","Uchu Tatsumi","draw","Alexandre Franca Nogueira","VTJ 1999 - Vale Tudo Japan 1999Dec / 11 / 1999","DrawN/A","3","8:00"
"5395","Uchu Tatsumi","win","Hisao Ikeda","Shooto - Renaxis 4Sep / 05 / 1999","Decision (Split)N/A","3","5:00"
"6346","Uchu Tatsumi","draw","Noboru Asahi","Shooto - Renaxis 1Mar / 28 / 1999","DrawN/A","3","5:00"
"7307","Uchu Tatsumi","win","Eric Payne","Shooto - Las Grandes Viajes 6Nov / 27 / 1998","Submission (Rear Naked Choke)N/A","1","2:42"
"8287","Uchu Tatsumi","draw","Joao Roque","VTJ 1997 - Vale Tudo Japan 1997Nov / 29 / 1997","DrawN/A","3","8:00"
"9265","Uchu Tatsumi","win","Paul Coonin","Shooto - Reconquista 4Oct / 12 / 1997","Submission (Heel Hook)N/A","1","1:19"
"10253","Uchu Tatsumi","win","Abdelaziz Cherigui","Shooto - Reconquista 2Apr / 06 / 1997","TKO (Submission to Punches)N/A","1","2:18"
"11244","Uchu Tatsumi","win","Mamoru Okochi","Shooto - Reconquista 1Jan / 18 / 1997","Decision (Unanimous)N/A","5","3:00"
"12225","Uchu Tatsumi","win","Sunay Ahmed","Shooto - Let's Get LostOct / 04 / 1996","Submission (Rear-Naked Choke)N/A","1","0:51"
"13203","Uchu Tatsumi","win","Hisao Ikeda","Shooto - Vale Tudo Junction 3May / 07 / 1996","KO (Punches)N/A","1","0:47"
"14198","Uchu Tatsumi","win","Kimihito Nonaka","Shooto - Vale Tudo Junction 1Jan / 20 / 1996","Decision (Majority)N/A","3","3:00"
"15186","Uchu Tatsumi","win","Magnum Kawamura","Shooto - Vale Tudo Access 4May / 12 / 1995","Decision (Unanimous)N/A","3","3:00"
"21076","Alexandre Franca Nogueira","win","Denison Silva","THF - The Hill FightersMay / 01 / 2014","Submission (Heel Hook)N/A","2","0:23"
"3700","Alexandre Franca Nogueira","win","Antonio Barajas","RDC MMA - Reto de Campeones 2Feb / 21 / 2014","Submission (Guillotine Choke)Ximaru do Nascimento","1","2:06"
"4509","Alexandre Franca Nogueira","win","Marc Gomez Sariol","RDC MMA - Reto de Campeones 1Feb / 14 / 2014","Decision (Unanimous)Gabriel Peralta Molina","5","3:00"
"5396","Alexandre Franca Nogueira","win","D'Juan Owens","Inka FC 23 - Pequeno vs. OwensAug / 24 / 2013","KO (Head Kick)N/A","4","0:00"
"6347","Alexandre Franca Nogueira","draw","D'Juan Owens","Inka FC 21 - PrivateMay / 19 / 2013","Draw (Majority)N/A","3","5:00"
"7308","Alexandre Franca Nogueira","win","Jean Canchumanta","DDT - Duelo de TitasMar / 24 / 2012","Submission (Punches)Mario Yamasaki","1","2:15"
"8288","Alexandre Franca Nogueira","loss","Takeshi Inoue","VTJ 2009 - Vale Tudo Japan 2009Oct / 30 / 2009","TKO (Punches)N/A","4","2:58"
"9266","Alexandre Franca Nogueira","loss","Jose Aldo","WEC 34 - SacramentoJun / 01 / 2008","TKO (Punches)N/A","2","3:22"
"10254","Alexandre Franca Nogueira","win","Shuichiro Katsumura","K-1 HERO's - Middleweight Tournament Opening RoundJul / 16 / 2007","KO (Punch)N/A","2","1:55"
"11245","Alexandre Franca Nogueira","loss","Kotetsu Boku","K-1 - Hero's 6Aug / 05 / 2006","Decision (Unanimous)N/A","2","5:00"
"12226","Alexandre Franca Nogueira","loss","Hideo Tokoro","K-1 - Hero's 2Jul / 06 / 2005","KO (Spinning Back Fist)N/A","3","0:08"
"13204","Alexandre Franca Nogueira","win","Joao Roque","Shooto - 3/11 in Korakuen HallMar / 11 / 2005","Decision (Unanimous)N/A","3","5:00"
"14199","Alexandre Franca Nogueira","win","Hideki Kadowaki","Shooto - Year End Show 2004Dec / 14 / 2004","Submission (Guillotine Choke)N/A","1","3:34"
"15187","Alexandre Franca Nogueira","win","Rumina Sato","Shooto - Year End Show 2003Dec / 14 / 2003","Submission (Guillotine Choke)N/A","1","0:41"
"16183","Alexandre Franca Nogueira","draw","Stephen Palling","Shooto - 8/10 in Yokohama Cultural GymnasiumAug / 10 / 2003","DrawN/A","3","5:00"
"17175","Alexandre Franca Nogueira","win","Hiroyuki Abe","Shooto - Year End Show 2002Dec / 14 / 2002","Submission (Rear-Naked Choke)N/A","1","3:53"
"18169","Alexandre Franca Nogueira","loss","Hiroyuki Abe","Shooto - Treasure Hunt 8Jul / 19 / 2002","KO (Punch)N/A","1","4:37"
"19164","Alexandre Franca Nogueira","win","Katsuya Toida","Shooto - To The Top Final ActDec / 16 / 2001","Decision (Unanimous)N/A","3","5:00"
"20151","Alexandre Franca Nogueira","win","Tetsuo Katsuta","Shooto - To The Top 8Sep / 02 / 2001","Submission (Guillotine Choke)N/A","2","2:45"
"21213","Alexandre Franca Nogueira","loss","Tetsuo Katsuta","Shooto - To The Top 4May / 01 / 2001","Decision (Majority)N/A","3","5:00"
"22194","Alexandre Franca Nogueira","win","Stephen Palling","Shooto - R.E.A.D. FinalDec / 17 / 2000","Submission (Guillotine Choke)N/A","2","1:19"
"23174","Alexandre Franca Nogueira","win","Uchu Tatsumi","Shooto - R.E.A.D. 9Aug / 27 / 2000","Submission (Guillotine Choke)N/A","1","1:57"
"24160","Alexandre Franca Nogueira","win","Mamoru Okochi","Shooto - R.E.A.D. 3Apr / 02 / 2000","Decision (Unanimous)N/A","3","5:00"
"25141","Alexandre Franca Nogueira","draw","Uchu Tatsumi","VTJ 1999 - Vale Tudo Japan 1999Dec / 11 / 1999","DrawN/A","3","8:00"
"26131","Alexandre Franca Nogueira","win","Noboru Asahi","Shooto - Renaxis 4Sep / 05 / 1999","Technical Submission (Guillotine Choke)N/A","2","3:29"
"27123","Alexandre Franca Nogueira","win","Masahiro Oishi","Shooto - Renaxis 1Mar / 28 / 1999","Submission (Armbar)N/A","1","3:11"
"28118","Alexandre Franca Nogueira","win","Noboru Asahi","Shooto - Shoot the Shooto XXApr / 26 / 1998","Technical Submission (Guillotine Choke)N/A","1","1:06"
"21077","Hayato Sakurai","win","Wataru Sakata","Rizin 4 - Rizin Fighting World Grand Prix 2016: Final RoundDec / 31 / 2016","TKO (Punches)Ryogaku Wada","2","2:37"
"3701","Hayato Sakurai","loss","Jae Suk Lim","Mach Dojo / Gladiator - Mach MatsuriSep / 29 / 2013","TKO (Punches)N/A","1","5:21"
"4556","Hayato Sakurai","win","Phil Baroni","Dream 18 - Special NYE 2012Dec / 31 / 2012","Decision (Unanimous)Moritaka Oshiro","3","5:00"
"5397","Hayato Sakurai","win","Ryo Chonan","Dream - Fight for Japan: Genki Desu Ka! New Year! 2011Dec / 31 / 2011","Decision (Unanimous)Samio Kimura","3","5:00"
"6348","Hayato Sakurai","loss","Jason High","K-1 - Dynamite!! Power of Courage 2010Dec / 31 / 2010","Decision (Split)Kenichi Serizawa","3","5:00"
"7309","Hayato Sakurai","loss","Nick Diaz","Dream - Dream 14May / 29 / 2010","Submission (Armbar)Yuji Shimada","1","3:54"
"8289","Hayato Sakurai","loss","Akihiro Gono","K-1 - Dynamite!! Power of Courage 2009Dec / 31 / 2009","Submission (Armbar)N/A","2","3:56"
"9267","Hayato Sakurai","loss","Marius Zaromskis","Dream 10 - Welterweight Grand Prix 2009 FinalJul / 20 / 2009","TKO (Head Kick and Punches)Yuji Shimada","1","4:03"
"10255","Hayato Sakurai","win","Shinya Aoki","Dream 8 - Welterweight Grand Prix 2009 Opening RoundApr / 05 / 2009","TKO (Knees and Punches)Daisuke Noguchi","1","0:27"
"11246","Hayato Sakurai","win","Katsuyori Shibata","K-1 - Dynamite!! Power of Courage 2008Dec / 31 / 2008","TKO (Punches)Moritaka Oshiro","1","7:01"
"12227","Hayato Sakurai","win","Kuniyoshi Hironaka","Dream 6 - Middleweight Grand Prix 2008 FinalSep / 23 / 2008","Decision (Unanimous)N/A","2","5:00"
"13205","Hayato Sakurai","loss","David Baron","Shooto - Shooto Tradition 1May / 03 / 2008","Submission (Guillotine Choke)N/A","1","4:50"
"14200","Hayato Sakurai","win","Hidetaka Monma","Dream 1 - Lightweight Grand Prix 2008 Opening RoundMar / 15 / 2008","TKO (Punches)N/A","1","4:12"
"15188","Hayato Sakurai","win","Hidehiko Hasegawa","Yarennoka - New Years Eve 2007Dec / 31 / 2007","Decision (Unanimous)N/A","2","5:00"
"16184","Hayato Sakurai","win","Mac Danzig","Pride 33 - Second ComingFeb / 24 / 2007","KO (Punch)Yuji Shimada","2","4:01"
"17176","Hayato Sakurai","win","Luciano Azevedo","Pride - Bushido 12Aug / 26 / 2006","TKO (Doctor Stoppage)N/A","1","6:36"
"18170","Hayato Sakurai","win","Olaf Alfonso","Pride - Bushido 11Jun / 04 / 2006","KO (Punch)N/A","1","1:54"
"19165","Hayato Sakurai","loss","Takanori Gomi","Pride FC - Shockwave 2005Dec / 31 / 2005","KO (Punches)N/A","1","3:56"
"20152","Hayato Sakurai","win","Joachim Hansen","Pride - Bushido 9Sep / 25 / 2005","Decision (Unanimous)N/A","2","5:00"
"21214","Hayato Sakurai","win","Jens Pulver","Pride - Bushido 9Sep / 25 / 2005","TKO (Punches)N/A","1","8:56"
"22195","Hayato Sakurai","win","Shinya Aoki","Shooto - Alive RoadAug / 20 / 2005","Decision (Unanimous)N/A","3","5:00"
"23175","Hayato Sakurai","win","Milton Vieira","Pride - Bushido 7May / 22 / 2005","Decision (Unanimous)N/A","2","5:00"
