"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"3211","Patrick Smith","win","Rudyard Moncayo","UFC 6 - Clash of the TitansJul / 14 / 1995","Submission (Rear-Naked Choke)John McCarthy","1","1:08"
"3310","Patrick Smith","loss","Kimo Leopoldo","K-1 - Legend '94Dec / 10 / 1994","TKO (Submission to Punches)N/A","1","3:00"
"346","Patrick Smith","loss","Royce Gracie","UFC 2 - No Way OutMar / 11 / 1994","TKO (Submission to Punches)John McCarthy","1","1:17"
"356","Patrick Smith","win","Johnny Rhodes","UFC 2 - No Way OutMar / 11 / 1994","Submission (Guillotine Choke)John McCarthy","1","1:07"
"366","Patrick Smith","win","Scott Morris","UFC 2 - No Way OutMar / 11 / 1994","KO (Elbows)John McCarthy","1","0:30"
"375","Patrick Smith","win","Ray Wizard","UFC 2 - No Way OutMar / 11 / 1994","Submission (Guillotine Choke)John McCarthy","1","0:58"
"384","Patrick Smith","loss","Ken Shamrock","UFC 1 - The BeginningNov / 12 / 1993","Submission (Heel Hook)Helio Vigio","1","1:49"
"250","Jason DeLucia","loss","Lance Everson","WFL 13 - Calloway Cup 4Nov / 27 / 2006","TKO (Punches)N/A","1","0:00"
"340","Jason DeLucia","loss","Fabio Piemonte","Cage Rage 15 - Adrenalin RushFeb / 04 / 2006","Submission (Triangle Armbar)N/A","1","1:04"
"430","Jason DeLucia","win","Matt Rogers","SB 1 - Shootbox 1Aug / 23 / 2003","Submission (Rear-Naked Choke)N/A","1","2:39"
"524","Jason DeLucia","loss","Katsuhisa Fujii","Pancrase - 2001 Anniversary ShowSep / 30 / 2001","TKO (Knee Injury)N/A","1","5:00"
"623","Jason DeLucia","loss","Yuki Sasaki","Pancrase - 2001 Neo-Blood Tournament Opening RoundJul / 29 / 2001","Submission (Armbar)N/A","2","3:05"
"723","Jason DeLucia","loss","Daisuke Ishii","Pancrase - Proof 4Jun / 26 / 2001","Decision (Unanimous)Kenji Kosuge","3","5:00"
"818","Jason DeLucia","draw","Katsuhisa Fujii","Pancrase - Trans 7Dec / 04 / 2000","DrawYoshinori Umeki","1","15:00"
"916","Jason DeLucia","win","Takaichi Hirayama","Pancrase - Trans 6Oct / 31 / 2000","Decision (Unanimous)Yoshinori Umeki","1","10:00"
"1015","Jason DeLucia","loss","Omar Bouiche","Pancrase - Trans 4Jun / 26 / 2000","Submission (Armbar)Yoshinori Umeki","1","2:18"
"1114","Jason DeLucia","loss","Bob Stines","Pancrase - Trans 3Apr / 30 / 2000","TKO (Punches)Hiromi Okamoto","1","0:32"
"1214","Jason DeLucia","loss","Joe Slick","UFC 23 - Ultimate Japan 2Nov / 19 / 1999","TKO (Injury)John McCarthy","1","1:12"
